Date,Distance (km),Duration (min),Elevation Gain,Pace (min/km),Hour_of_Day,Day_of_Week,Days_Since_Last_Run,Heart_Rate,Temperature (C)
2024-01-05,5.2,31.2,45,6.00,6,5,1,152,12
2024-01-07,8.1,52.5,78,6.48,7,0,2,158,11
2024-01-09,3.5,20.3,22,5.80,18,2,2,145,14
2024-01-10,10.0,66.0,120,6.60,6,3,1,162,10
2024-01-12,6.5,39.0,55,6.00,7,5,2,155,13
2024-01-14,4.0,24.8,30,6.20,8,0,2,148,15
2024-01-15,7.2,45.4,68,6.31,18,1,1,160,14
2024-01-17,5.0,30.0,42,6.00,6,3,2,151,11
2024-01-19,12.0,79.2,145,6.60,7,5,2,165,9
2024-01-21,6.0,36.6,50,6.10,8,0,2,154,12
2024-01-22,3.8,22.0,25,5.79,18,1,1,143,16
2024-01-24,9.5,61.8,95,6.51,6,3,2,159,10
2024-01-26,5.5,33.0,48,6.00,7,5,2,153,13
2024-01-28,7.0,44.1,62,6.30,18,0,2,157,14
2024-01-30,4.2,25.2,28,6.00,6,2,2,149,15
2024-02-01,8.5,55.3,82,6.51,7,4,2,161,11
2024-02-03,6.3,38.4,53,6.10,8,6,2,155,12
2024-02-04,3.2,18.9,20,5.91,18,0,1,142,17
2024-02-06,11.0,72.6,130,6.60,6,2,2,164,10
2024-02-08,5.8,34.8,47,6.00,7,4,2,152,13
2024-02-10,7.5,48.0,70,6.40,18,6,2,158,14
2024-02-12,4.5,27.0,32,6.00,6,1,2,147,15
2024-02-14,9.0,59.4,88,6.60,7,3,2,160,11
2024-02-16,6.8,41.5,58,6.10,8,5,2,156,12
2024-02-17,3.6,21.2,23,5.89,18,6,1,144,16
2024-02-19,10.5,69.3,125,6.60,6,1,2,163,10
2024-02-21,5.3,31.8,44,6.00,7,3,2,151,13
2024-02-23,7.8,50.7,75,6.50,18,5,2,159,14
2024-02-25,4.8,28.8,35,6.00,6,0,2,148,15
2024-02-27,8.8,57.2,85,6.50,7,2,2,161,11
2024-02-29,6.2,37.2,51,6.00,8,4,2,154,12
2024-03-02,3.9,22.8,26,5.85,18,6,2,143,17
2024-03-04,11.5,75.9,135,6.60,6,1,2,165,9
2024-03-06,5.6,33.6,46,6.00,7,3,2,152,13
2024-03-08,7.3,47.5,65,6.51,18,5,2,157,14
2024-03-10,4.3,25.8,29,6.00,6,0,2,146,15
2024-03-12,9.2,60.7,92,6.60,7,2,2,160,11
2024-03-14,6.6,39.6,54,6.00,8,4,2,155,12
2024-03-16,3.4,19.8,21,5.82,18,6,1,141,16
2024-03-18,10.2,67.3,122,6.60,6,1,2,162,10
2024-03-20,5.4,32.4,45,6.00,7,3,2,151,13
2024-03-22,7.6,49.4,72,6.50,18,5,2,158,14
2024-03-24,4.6,27.6,33,6.00,6,0,2,147,15
2024-03-26,8.9,58.3,86,6.55,7,2,2,161,11
2024-03-28,6.4,38.4,52,6.00,8,4,2,154,12
2024-03-30,3.7,21.6,24,5.84,18,6,1,142,17
2024-04-01,12.5,82.5,150,6.60,6,1,2,166,9
2024-04-03,5.7,34.2,47,6.00,7,3,2,152,13
2024-04-05,7.4,48.1,67,6.50,18,5,2,157,14
2024-04-07,4.4,26.4,30,6.00,6,0,2,146,15
2024-04-09,9.3,61.4,93,6.60,7,2,2,160,11
